Order ID,Amount,Profit,Quantity,Category,Sub-Category
B-25618,12.0,0.0,2,Clothing,Hankerchief
B-25619,353.0,90.0,8,Clothing,Saree
B-25620,193.0,46.0,1,Electronics,Printers
B-25621,233.0,-10.0,5,Electronics,Electronic Games
B-25621,228.0,63.0,3,Electronics,Electronic Games
B-25621,333.0,-15.0,3,Electronics,Phones
B-25622,534.0,0.0,3,Clothing,Saree
B-25623,53.0,1.0,4,Clothing,Stole
B-25623,158.0,69.0,3,Clothing,Stole
B-25623,149.0,-87.0,4,Clothing,Saree
B-25623,105.0,20.0,2,Clothing,Stole
B-25624,26.0,12.0,3,Clothing,Hankerchief
B-25625,97.0,29.0,2,Clothing,Hankerchief
B-25625,59.0,30.0,3,Clothing,Leggings
B-25625,635.0,-349.0,5,Clothing,Saree
B-25626,46.0,-14.0,1,Electronics,Phones
B-25626,1103.0,-276.0,3,Furniture,Chairs
B-25627,55.0,-39.0,4,Clothing,Stole
B-25628,45.0,13.0,4,Clothing,Skirt
B-25628,24.0,-9.0,4,Clothing,Saree
B-25628,35.0,-8.0,2,Furniture,Furnishings
B-25629,1560.0,421.0,3,Clothing,Trousers
B-25630,133.0,12.0,5,Clothing,Stole
B-25630,114.0,-39.0,5,Clothing,Kurti
B-25630,143.0,-129.0,2,Electronics,Phones
B-25630,40.0,-7.0,3,Clothing,Stole
B-25630,34.0,-22.0,4,Clothing,T-Shirt
B-25630,42.0,-26.0,2,Clothing,Kurti
B-25631,89.0,-89.0,2,Furniture,Furnishings
B-25632,19.0,-2.0,2,Clothing,Leggings
B-25633,249.0,-130.0,4,Electronics,Phones
B-25633,711.0,-8.0,4,Clothing,Saree
B-25633,496.0,-79.0,2,Clothing,Trousers
B-25634,389.0,-83.0,3,Furniture,Chairs
B-25635,40.0,16.0,3,Clothing,Hankerchief
B-25635,23.0,2.0,2,Clothing,Skirt
B-25635,382.0,30.0,3,Clothing,Saree
B-25636,637.0,113.0,5,Clothing,Saree
B-25637,117.0,14.0,3,Clothing,Shirt
B-25638,182.0,-11.0,3,Furniture,Bookcases
B-25638,880.0,97.0,8,Furniture,Furnishings
B-25638,154.0,39.0,3,Clothing,Hankerchief
B-25638,816.0,-96.0,3,Electronics,Printers
B-25639,1629.0,-153.0,3,Electronics,Phones
B-25640,68.0,-62.0,2,Clothing,Trousers
B-25640,314.0,-239.0,13,Clothing,Hankerchief
B-25640,122.0,-47.0,4,Clothing,Saree
B-25641,22.0,-6.0,1,Furniture,Furnishings
B-25642,434.0,26.0,11,Clothing,Shirt
B-25643,1061.0,-36.0,8,Furniture,Bookcases
B-25643,50.0,-44.0,2,Clothing,Hankerchief
B-25643,37.0,-23.0,4,Clothing,Shirt
B-25643,263.0,-63.0,2,Electronics,Electronic Games
B-25643,36.0,-7.0,1,Electronics,Electronic Games
B-25644,76.0,-92.0,8,Furniture,Furnishings
B-25645,273.0,-87.0,4,Electronics,Phones
B-25645,86.0,0.0,4,Clothing,T-Shirt
B-25645,133.0,-42.0,1,Electronics,Printers
B-25645,183.0,-66.0,5,Electronics,Phones
B-25646,20.0,-8.0,2,Clothing,Saree
B-25647,42.0,-6.0,4,Clothing,Saree
B-25648,100.0,-23.0,1,Electronics,Phones
B-25648,30.0,13.0,1,Clothing,T-Shirt
B-25648,55.0,-26.0,4,Clothing,Saree
B-25648,130.0,-41.0,4,Clothing,Saree
B-25649,27.0,-25.0,2,Clothing,Stole
B-25650,245.0,-78.0,2,Electronics,Printers
B-25650,211.0,-105.0,2,Clothing,Saree
B-25650,31.0,-2.0,2,Clothing,Saree
B-25650,28.0,-26.0,2,Clothing,Stole
B-25650,512.0,-225.0,5,Clothing,Saree
B-25650,925.0,-447.0,5,Electronics,Electronic Games
B-25650,238.0,20.0,2,Clothing,Saree
B-25650,351.0,-47.0,8,Electronics,Phones
B-25650,269.0,111.0,3,Clothing,Trousers
B-25651,200.0,-60.0,4,Furniture,Bookcases
B-25651,44.0,-8.0,3,Clothing,Stole
B-25651,7.0,0.0,1,Clothing,Leggings
B-25651,11.0,-4.0,2,Clothing,Skirt
B-25651,16.0,-10.0,2,Clothing,T-Shirt
B-25651,172.0,-103.0,3,Furniture,Chairs
B-25651,49.0,3.0,1,Clothing,Shirt
B-25651,823.0,-18.0,7,Furniture,Chairs
B-25651,23.0,4.0,1,Clothing,Saree
B-25651,457.0,-41.0,4,Clothing,Saree
B-25652,24.0,-21.0,7,Clothing,Skirt
B-25652,25.0,-2.0,5,Clothing,Hankerchief
B-25652,174.0,-70.0,3,Electronics,Accessories
B-25652,206.0,-206.0,3,Clothing,Saree
B-25652,21.0,-13.0,3,Clothing,Leggings
B-25652,34.0,-6.0,4,Clothing,Leggings
B-25652,9.0,-6.0,2,Clothing,Hankerchief
B-25653,1279.0,-640.0,8,Electronics,Printers
B-25653,28.0,-3.0,2,Clothing,Saree
B-25653,427.0,-50.0,7,Electronics,Phones
B-25653,168.0,-10.0,3,Electronics,Accessories
B-25653,1327.0,318.0,8,Furniture,Chairs
B-25653,195.0,-117.0,5,Electronics,Phones
B-25653,115.0,25.0,1,Electronics,Accessories
B-25653,668.0,-31.0,3,Electronics,Printers
B-25653,227.0,102.0,8,Electronics,Accessories
B-25654,34.0,12.0,3,Clothing,Hankerchief
B-25654,229.0,-23.0,2,Clothing,Saree
B-25654,54.0,-3.0,3,Clothing,Saree
B-25654,269.0,-86.0,2,Electronics,Electronic Games
B-25654,122.0,-21.0,3,Furniture,Furnishings
B-25654,105.0,46.0,2,Clothing,Stole
B-25654,450.0,-90.0,3,Electronics,Printers
B-25654,121.0,-17.0,3,Furniture,Furnishings
B-25655,44.0,-26.0,3,Clothing,Hankerchief
B-25655,7.0,-4.0,3,Clothing,Hankerchief
B-25655,396.0,-31.0,9,Clothing,Saree
B-25655,97.0,-62.0,2,Clothing,Trousers
B-25655,110.0,-68.0,4,Clothing,Saree
B-25655,312.0,-312.0,7,Furniture,Chairs
B-25655,9.0,-6.0,2,Clothing,Skirt
B-25655,6.0,-3.0,1,Clothing,Hankerchief
B-25655,74.0,23.0,8,Clothing,Skirt
B-25656,534.0,0.0,3,Clothing,Saree
B-25656,30.0,-5.0,5,Clothing,Stole
B-25656,61.0,-23.0,2,Clothing,Saree
B-25656,6.0,3.0,1,Clothing,Hankerchief
B-25656,24.0,-1.0,2,Clothing,Hankerchief
B-25656,56.0,18.0,2,Clothing,Hankerchief
B-25656,406.0,126.0,2,Clothing,Saree
B-25656,624.0,37.0,2,Electronics,Electronic Games
B-25656,101.0,18.0,9,Clothing,Skirt
B-25656,1389.0,680.0,7,Clothing,Saree
B-25656,651.0,169.0,5,Electronics,Printers
B-25656,13.0,-1.0,3,Clothing,Hankerchief
B-25657,1021.0,-48.0,4,Electronics,Electronic Games
B-25657,32.0,-22.0,5,Clothing,Saree
B-25657,332.0,-43.0,6,Electronics,Phones
B-25657,288.0,-180.0,4,Furniture,Chairs
B-25658,27.0,9.0,2,Clothing,T-Shirt
B-25659,148.0,72.0,7,Clothing,T-Shirt
B-25660,245.0,-78.0,3,Clothing,Saree
B-25661,19.0,-15.0,3,Clothing,Hankerchief
B-25661,224.0,-81.0,3,Furniture,Chairs
B-25661,58.0,-42.0,2,Furniture,Chairs
B-25661,145.0,-104.0,5,Furniture,Chairs
B-25661,55.0,-33.0,2,Furniture,Chairs
B-25661,7.0,-1.0,2,Clothing,Hankerchief
B-25662,24.0,-2.0,2,Clothing,T-Shirt
B-25662,86.0,-21.0,1,Electronics,Electronic Games
B-25662,385.0,-77.0,11,Furniture,Furnishings
B-25663,294.0,138.0,2,Electronics,Printers
B-25664,444.0,-200.0,4,Electronics,Phones
B-25664,785.0,52.0,2,Electronics,Phones
B-25664,258.0,-27.0,2,Electronics,Phones
B-25664,83.0,-48.0,1,Furniture,Bookcases
B-25665,166.0,-113.0,4,Electronics,Accessories
B-25666,934.0,-916.0,7,Electronics,Electronic Games
B-25667,11.0,-2.0,4,Clothing,Hankerchief
B-25667,41.0,6.0,5,Clothing,Skirt
B-25667,344.0,-34.0,3,Clothing,Saree
B-25667,1030.0,206.0,8,Electronics,Printers
B-25667,516.0,69.0,4,Furniture,Bookcases
B-25668,123.0,17.0,3,Furniture,Furnishings
B-25669,610.0,-66.0,2,Furniture,Tables
B-25670,74.0,29.0,3,Clothing,Stole
B-25670,24.0,1.0,2,Clothing,Hankerchief
B-25670,14.0,2.0,1,Clothing,Hankerchief
B-25670,656.0,-36.0,2,Furniture,Bookcases
B-25671,832.0,0.0,3,Clothing,Trousers
B-25672,27.0,-15.0,1,Clothing,Stole
B-25673,143.0,-124.0,5,Clothing,Saree
B-25673,44.0,-17.0,5,Clothing,Saree
B-25673,45.0,-2.0,4,Clothing,Shirt
B-25673,16.0,-1.0,1,Clothing,Saree
B-25673,37.0,-5.0,3,Clothing,T-Shirt
B-25674,17.0,-12.0,5,Clothing,Skirt
B-25675,929.0,-93.0,9,Clothing,Saree
B-25676,342.0,-103.0,4,Electronics,Electronic Games
B-25676,1263.0,-56.0,5,Clothing,Trousers
B-25676,674.0,-187.0,2,Furniture,Tables
B-25676,32.0,6.0,3,Clothing,Shirt
B-25676,79.0,36.0,4,Clothing,Shirt
B-25677,20.0,-2.0,1,Electronics,Accessories
B-25678,64.0,-7.0,3,Clothing,Saree
B-25678,7.0,-3.0,2,Clothing,Skirt
B-25678,327.0,-39.0,1,Electronics,Phones
B-25678,27.0,-25.0,2,Clothing,Shirt
B-25679,76.0,-50.0,1,Clothing,Saree
B-25680,73.0,-25.0,3,Clothing,Saree
B-25681,68.0,-27.0,3,Electronics,Accessories
B-25681,523.0,204.0,7,Clothing,Trousers
B-25681,44.0,-3.0,1,Clothing,Saree
B-25681,243.0,-14.0,2,Furniture,Chairs
B-25681,1625.0,-77.0,3,Electronics,Phones
B-25681,1096.0,-658.0,7,Electronics,Electronic Games
B-25682,545.0,-73.0,11,Electronics,Phones
B-25683,433.0,26.0,3,Electronics,Printers
B-25683,245.0,-3.0,4,Electronics,Phones
B-25683,155.0,56.0,3,Furniture,Furnishings
B-25683,148.0,52.0,5,Clothing,Stole
B-25683,86.0,-55.0,6,Clothing,Saree
B-25684,134.0,42.0,2,Furniture,Chairs
B-25685,51.0,7.0,2,Furniture,Furnishings
B-25685,529.0,137.0,3,Electronics,Phones
B-25685,264.0,-30.0,3,Furniture,Furnishings
B-25685,45.0,-2.0,4,Clothing,Shirt
B-25686,381.0,-13.0,2,Clothing,Saree
B-25686,332.0,-503.0,3,Electronics,Printers
B-25686,1829.0,-56.0,6,Furniture,Tables
B-25687,17.0,6.0,1,Clothing,Stole
B-25687,357.0,139.0,2,Clothing,Saree
B-25687,51.0,21.0,3,Clothing,T-Shirt
B-25687,387.0,-213.0,5,Clothing,Saree
B-25687,14.0,-1.0,4,Clothing,Kurti
B-25688,352.0,-345.0,5,Clothing,Saree
B-25689,469.0,-459.0,3,Electronics,Electronic Games
B-25689,97.0,17.0,2,Clothing,Stole
B-25689,149.0,36.0,3,Clothing,Stole
B-25690,31.0,10.0,3,Clothing,Skirt
B-25691,714.0,56.0,4,Clothing,Saree
B-25691,75.0,-25.0,3,Clothing,Stole
B-25691,17.0,-9.0,3,Clothing,Stole
B-25692,141.0,28.0,7,Furniture,Furnishings
B-25693,76.0,-72.0,9,Clothing,Hankerchief
B-25693,632.0,-316.0,6,Clothing,Saree
B-25693,32.0,-16.0,6,Clothing,Saree
B-25693,68.0,-30.0,1,Electronics,Phones
B-25693,82.0,-39.0,5,Clothing,T-Shirt
B-25693,72.0,-49.0,1,Electronics,Phones
B-25693,13.0,-13.0,2,Clothing,Skirt
B-25694,167.0,43.0,7,Clothing,T-Shirt
B-25695,171.0,14.0,9,Clothing,Shirt
B-25696,117.0,-6.0,3,Electronics,Phones
B-25696,116.0,-4.0,1,Clothing,Saree
B-25696,887.0,80.0,3,Electronics,Printers
B-25696,275.0,-275.0,4,Clothing,Saree
B-25696,44.0,7.0,3,Clothing,Kurti
B-25696,168.0,-9.0,3,Clothing,Saree
B-25697,114.0,8.0,3,Electronics,Accessories
B-25697,1300.0,-16.0,8,Electronics,Printers
B-25697,4.0,-3.0,1,Clothing,Skirt
B-25697,73.0,-7.0,1,Electronics,Phones
B-25697,67.0,-42.0,3,Clothing,Stole
B-25697,322.0,-193.0,5,Electronics,Printers
B-25697,115.0,-39.0,3,Clothing,Trousers
B-25698,87.0,-83.0,5,Clothing,Kurti
B-25698,27.0,-6.0,4,Clothing,Hankerchief
B-25698,207.0,-153.0,3,Clothing,Saree
B-25698,516.0,-392.0,8,Furniture,Chairs
B-25698,7.0,-2.0,1,Clothing,Hankerchief
B-25698,65.0,-16.0,2,Electronics,Phones
B-25699,20.0,-22.0,1,Furniture,Furnishings
B-25699,49.0,-31.0,2,Clothing,Stole
B-25699,34.0,-13.0,5,Clothing,Leggings
B-25699,21.0,-5.0,1,Electronics,Accessories
B-25700,129.0,-75.0,5,Clothing,Shirt
B-25700,44.0,-32.0,3,Clothing,Stole
B-25700,7.0,-3.0,2,Clothing,Hankerchief
B-25701,10.0,-8.0,2,Clothing,Skirt
B-25701,33.0,-29.0,3,Clothing,Shirt
B-25701,98.0,-45.0,2,Furniture,Chairs
B-25701,33.0,-12.0,5,Clothing,Hankerchief
B-25702,75.0,0.0,3,Clothing,Shirt
B-25702,424.0,-17.0,9,Furniture,Chairs
B-25702,31.0,-3.0,4,Clothing,Saree
B-25702,941.0,-203.0,3,Furniture,Tables
B-25702,306.0,-147.0,3,Clothing,Saree
B-25703,42.0,-23.0,2,Furniture,Furnishings
B-25703,17.0,-3.0,2,Clothing,Stole
B-25703,32.0,-5.0,5,Clothing,Hankerchief
B-25703,231.0,-190.0,9,Clothing,Hankerchief
B-25703,22.0,-15.0,4,Clothing,Kurti
B-25703,97.0,-45.0,4,Clothing,Saree
B-25703,47.0,-27.0,4,Clothing,Saree
B-25703,186.0,-141.0,9,Clothing,Shirt
B-25704,126.0,-63.0,3,Electronics,Accessories
B-25704,102.0,0.0,3,Electronics,Phones
B-25705,46.0,0.0,2,Electronics,Electronic Games
B-25706,31.0,-11.0,4,Clothing,Stole
B-25707,8.0,-6.0,1,Clothing,Stole
B-25708,191.0,13.0,8,Furniture,Furnishings
B-25708,709.0,-100.0,5,Electronics,Phones
B-25708,81.0,-51.0,7,Clothing,Stole
B-25708,32.0,-8.0,2,Clothing,Stole
B-25709,33.0,-12.0,7,Clothing,Saree
B-25709,41.0,-6.0,1,Furniture,Chairs
B-25710,216.0,-38.0,6,Furniture,Furnishings
B-25710,616.0,-69.0,7,Furniture,Furnishings
B-25710,10.0,-1.0,1,Clothing,Leggings
B-25710,25.0,0.0,4,Clothing,Skirt
B-25710,53.0,-18.0,4,Clothing,T-Shirt
B-25710,13.0,-8.0,1,Clothing,T-Shirt
B-25711,100.0,-58.0,4,Clothing,Hankerchief
B-25712,193.0,-275.0,3,Electronics,Phones
B-25713,158.0,-63.0,4,Furniture,Chairs
B-25714,11.0,-5.0,2,Clothing,Hankerchief
B-25714,340.0,20.0,7,Clothing,Shirt
B-25715,416.0,137.0,3,Electronics,Phones
B-25716,58.0,0.0,4,Clothing,Saree
B-25717,561.0,212.0,3,Clothing,Saree
B-25717,138.0,-3.0,5,Clothing,Saree
B-25717,90.0,17.0,3,Clothing,Shirt
B-25717,55.0,-33.0,2,Furniture,Chairs
B-25718,371.0,115.0,1,Furniture,Bookcases
B-25718,460.0,31.0,3,Furniture,Bookcases
B-25719,29.0,10.0,2,Clothing,Stole
B-25720,30.0,-35.0,1,Furniture,Chairs
B-25721,29.0,-18.0,7,Clothing,Skirt
B-25721,191.0,51.0,5,Clothing,Shirt
B-25721,149.0,-40.0,2,Electronics,Phones
B-25722,48.0,-8.0,8,Clothing,Stole
B-25723,26.0,-24.0,1,Clothing,Stole
B-25723,16.0,-12.0,2,Clothing,Stole
B-25723,12.0,-7.0,2,Clothing,Leggings
B-25723,76.0,-54.0,3,Electronics,Electronic Games
B-25724,168.0,-51.0,2,Furniture,Bookcases
B-25725,23.0,-5.0,7,Clothing,Hankerchief
B-25725,26.0,-5.0,2,Clothing,Stole
B-25725,144.0,-7.0,4,Electronics,Electronic Games
B-25726,490.0,-128.0,8,Furniture,Bookcases
B-25727,57.0,-48.0,6,Clothing,Leggings
B-25727,327.0,114.0,4,Clothing,Trousers
B-25728,1055.0,264.0,4,Electronics,Printers
B-25728,771.0,-424.0,2,Electronics,Phones
B-25728,322.0,-113.0,4,Clothing,Saree
B-25729,1549.0,-439.0,4,Electronics,Phones
B-25730,1145.0,-706.0,3,Electronics,Phones
B-25730,473.0,42.0,4,Furniture,Chairs
B-25730,96.0,22.0,5,Clothing,Stole
B-25730,18.0,8.0,2,Clothing,Hankerchief
B-25730,187.0,30.0,4,Electronics,Accessories
B-25730,83.0,-81.0,3,Furniture,Chairs
B-25731,131.0,-154.0,8,Furniture,Furnishings
B-25732,16.0,-5.0,2,Clothing,Stole
B-25733,43.0,-43.0,7,Clothing,Stole
B-25733,30.0,-10.0,2,Clothing,Stole
B-25733,23.0,-6.0,4,Clothing,Hankerchief
B-25734,108.0,-19.0,3,Electronics,Electronic Games
B-25735,12.0,-2.0,3,Clothing,Hankerchief
B-25735,7.0,-1.0,2,Clothing,Skirt
B-25735,15.0,-7.0,1,Clothing,Hankerchief
B-25736,31.0,-7.0,5,Clothing,Skirt
B-25737,187.0,-15.0,3,Clothing,Trousers
B-25738,70.0,-14.0,2,Furniture,Furnishings
B-25738,72.0,-6.0,3,Clothing,Saree
B-25738,1069.0,0.0,6,Clothing,Saree
B-25738,148.0,-91.0,2,Electronics,Phones
B-25739,133.0,-56.0,2,Furniture,Chairs
B-25740,40.0,-37.0,3,Clothing,Stole
B-25740,7.0,0.0,2,Clothing,Skirt
B-25740,58.0,-8.0,2,Clothing,Saree
B-25741,482.0,-6.0,7,Electronics,Electronic Games
B-25742,11.0,-8.0,2,Clothing,Skirt
B-25743,143.0,-124.0,5,Clothing,Saree
B-25743,9.0,-5.0,1,Clothing,Saree
B-25743,503.0,-56.0,2,Clothing,Trousers
B-25743,74.0,-51.0,3,Clothing,Stole
B-25743,56.0,0.0,4,Clothing,Hankerchief
B-25744,373.0,-254.0,6,Electronics,Printers
B-25745,44.0,-8.0,3,Clothing,Stole
B-25745,296.0,-225.0,11,Clothing,Saree
B-25745,670.0,15.0,5,Furniture,Bookcases
B-25745,132.0,-79.0,5,Furniture,Furnishings
B-25746,87.0,16.0,2,Clothing,Saree
B-25747,877.0,395.0,2,Furniture,Bookcases
B-25748,141.0,10.0,4,Clothing,Shirt
B-25748,224.0,58.0,3,Electronics,Phones
B-25748,8.0,-1.0,2,Clothing,Leggings
B-25748,47.0,-21.0,2,Electronics,Electronic Games
B-25749,1052.0,-82.0,3,Furniture,Bookcases
B-25750,212.0,-24.0,2,Furniture,Chairs
B-25750,42.0,-15.0,12,Clothing,Skirt
B-25750,208.0,-25.0,2,Clothing,Saree
B-25750,22.0,-12.0,3,Clothing,Stole
B-25750,539.0,-146.0,7,Furniture,Furnishings
B-25750,78.0,-6.0,2,Furniture,Furnishings
B-25750,20.0,-18.0,2,Clothing,Saree
B-25750,19.0,-1.0,1,Clothing,Shirt
B-25750,73.0,-31.0,1,Furniture,Bookcases
B-25751,10.0,-8.0,1,Clothing,Kurti
B-25751,14.0,-3.0,2,Clothing,Leggings
B-25751,68.0,-56.0,2,Electronics,Phones
B-25751,106.0,0.0,2,Electronics,Phones
B-25751,43.0,-5.0,2,Clothing,Saree
B-25751,43.0,21.0,3,Clothing,Shirt
B-25751,534.0,5.0,2,Electronics,Electronic Games
B-25751,32.0,7.0,3,Clothing,Hankerchief
B-25751,65.0,-4.0,6,Clothing,Hankerchief
B-25751,221.0,-15.0,2,Electronics,Electronic Games
B-25752,1361.0,197.0,9,Furniture,Bookcases
B-25752,761.0,266.0,9,Electronics,Electronic Games
B-25752,76.0,27.0,5,Clothing,Stole
B-25752,91.0,15.0,6,Clothing,T-Shirt
B-25752,8.0,-2.0,2,Clothing,Hankerchief
B-25752,735.0,-235.0,6,Electronics,Printers
B-25752,33.0,-27.0,1,Furniture,Chairs
B-25753,62.0,-56.0,5,Clothing,Kurti
B-25753,27.0,-20.0,2,Clothing,Hankerchief
B-25753,65.0,-52.0,3,Electronics,Accessories
B-25753,47.0,-114.0,5,Furniture,Furnishings
B-25753,341.0,-85.0,6,Clothing,Trousers
B-25753,107.0,31.0,5,Clothing,T-Shirt
B-25753,154.0,22.0,7,Clothing,T-Shirt
B-25753,620.0,82.0,6,Electronics,Accessories
B-25753,77.0,-43.0,8,Clothing,Stole
B-25754,72.0,-46.0,7,Clothing,Kurti
B-25754,41.0,-14.0,5,Clothing,Leggings
B-25754,30.0,-23.0,2,Clothing,Saree
B-25754,93.0,-65.0,4,Clothing,Stole
B-25754,19.0,0.0,3,Clothing,Skirt
B-25754,9.0,-1.0,3,Clothing,Skirt
B-25754,319.0,-312.0,5,Clothing,Saree
B-25754,262.0,-215.0,2,Electronics,Printers
B-25755,37.0,-53.0,3,Clothing,Saree
B-25755,257.0,-3.0,2,Furniture,Bookcases
B-25755,80.0,-19.0,5,Clothing,Stole
B-25755,321.0,-315.0,5,Clothing,Saree
B-25755,47.0,-3.0,2,Clothing,Stole
B-25755,593.0,213.0,4,Furniture,Bookcases
B-25755,134.0,-34.0,2,Furniture,Chairs
B-25755,1709.0,564.0,3,Clothing,Trousers
B-25755,27.0,4.0,2,Clothing,Saree
B-25756,465.0,-33.0,4,Electronics,Phones
B-25756,643.0,-45.0,2,Electronics,Printers
B-25756,204.0,-276.0,3,Furniture,Bookcases
B-25756,729.0,-492.0,5,Furniture,Bookcases
B-25756,29.0,-24.0,4,Clothing,Leggings
B-25757,17.0,-13.0,4,Clothing,Skirt
B-25757,34.0,-11.0,5,Clothing,T-Shirt
B-25757,98.0,9.0,2,Furniture,Furnishings
B-25757,3151.0,-35.0,7,Clothing,Trousers
B-25757,53.0,15.0,2,Clothing,Stole
B-25757,165.0,30.0,3,Clothing,Stole
B-25757,211.0,19.0,8,Clothing,Stole
B-25757,106.0,15.0,7,Clothing,Hankerchief
B-25757,14.0,5.0,1,Clothing,Hankerchief
B-25757,17.0,7.0,3,Clothing,Hankerchief
B-25757,46.0,14.0,5,Clothing,Skirt
B-25758,8.0,-2.0,1,Clothing,Stole
B-25759,20.0,-9.0,6,Clothing,Hankerchief
B-25760,322.0,-193.0,5,Electronics,Printers
B-25761,2188.0,1050.0,5,Furniture,Bookcases
B-25761,328.0,-15.0,3,Electronics,Electronic Games
B-25761,418.0,70.0,7,Electronics,Phones
B-25761,40.0,0.0,3,Clothing,Saree
B-25761,102.0,-90.0,1,Clothing,Saree
B-25761,263.0,-31.0,9,Electronics,Electronic Games
B-25762,1316.0,-527.0,7,Electronics,Electronic Games
B-25762,27.0,4.0,3,Clothing,Skirt
B-25762,98.0,-5.0,2,Clothing,Saree
B-25763,58.0,-52.0,3,Furniture,Chairs
B-25764,119.0,43.0,5,Clothing,T-Shirt
B-25764,765.0,-153.0,2,Electronics,Phones
B-25764,26.0,0.0,2,Clothing,Kurti
B-25764,24.0,-24.0,2,Clothing,Saree
B-25765,139.0,14.0,3,Clothing,Stole
B-25766,220.0,-19.0,2,Clothing,Saree
B-25767,299.0,-28.0,3,Electronics,Electronic Games
B-25767,9.0,-9.0,2,Clothing,Kurti
B-25767,74.0,-59.0,2,Electronics,Accessories
B-25767,29.0,-3.0,3,Clothing,Saree
B-25767,48.0,-22.0,2,Clothing,Saree
B-25768,1582.0,-443.0,6,Clothing,Trousers
B-25769,355.0,-4.0,2,Clothing,Saree
B-25770,375.0,180.0,3,Furniture,Bookcases
B-25770,299.0,113.0,2,Furniture,Bookcases
B-25770,287.0,-280.0,12,Furniture,Chairs
B-25770,110.0,35.0,1,Furniture,Furnishings
B-25771,148.0,59.0,3,Clothing,Hankerchief
B-25772,1183.0,106.0,4,Electronics,Printers
B-25773,248.0,-70.0,3,Furniture,Chairs
B-25773,85.0,-9.0,4,Clothing,Saree
B-25773,24.0,-14.0,2,Clothing,Saree
B-25773,209.0,-21.0,2,Electronics,Electronic Games
B-25773,224.0,-143.0,3,Furniture,Chairs
B-25774,38.0,-6.0,2,Furniture,Furnishings
B-25775,50.0,-17.0,2,Clothing,Stole
B-25776,47.0,-20.0,2,Clothing,Kurti
B-25777,61.0,-25.0,4,Electronics,Accessories
B-25777,69.0,-67.0,4,Clothing,Kurti
B-25777,59.0,-46.0,7,Clothing,T-Shirt
B-25777,117.0,17.0,6,Clothing,Kurti
B-25777,1076.0,-38.0,4,Electronics,Printers
B-25778,1506.0,-266.0,6,Electronics,Printers
B-25778,109.0,-6.0,6,Clothing,Saree
B-25778,933.0,166.0,5,Clothing,Saree
B-25778,724.0,-447.0,4,Electronics,Electronic Games
B-25779,1361.0,-980.0,3,Furniture,Tables
B-25780,137.0,-41.0,3,Electronics,Phones
B-25781,60.0,-49.0,8,Clothing,Hankerchief
B-25781,30.0,-25.0,2,Clothing,T-Shirt
B-25781,767.0,-353.0,5,Clothing,Trousers
B-25781,45.0,-28.0,2,Clothing,Stole
B-25781,25.0,-1.0,4,Clothing,Kurti
B-25781,584.0,-444.0,7,Electronics,Printers
B-25782,335.0,-22.0,7,Furniture,Chairs
B-25783,25.0,-11.0,1,Clothing,Stole
